loan_id,loan_number,customer_id,product_id,branch_id,officer_id,loan_type,loan_amount,outstanding_amount,interest_rate,tenure_months,start_date,maturity_date,credit_grade,loan_status
LN00017,LN5690000017,CU04560,PR015,BR002,OF0073,HOME_LOAN,1748914.68,186537.11,14.36,36,2023-07-03,2026-07-03,A,DEFAULTED
LN00018,LN2060000018,CU04291,PR011,BR007,OF0051,PERSONAL_LOAN,95808.05,23558.49,12.08,120,2022-06-30,2032-06-30,C,CLOSED
LN00019,LN6664000019,CU03320,PR013,BR009,OF0099,HOME_LOAN,3333109.08,1126433.71,9.25,24,2024-08-23,2026-08-23,B,DEFAULTED
LN00020,LN2507000020,CU02058,PR013,BR010,OF0021,HOME_LOAN,2279376.91,630587.49,15.58,120,2019-11-27,2029-11-27,A,DEFAULTED
LN00021,LN2163000021,CU00284,PR012,BR004,OF0098,PERSONAL_LOAN,455486.89,389407.60,14.28,120,2020-05-18,2030-05-18,B,ACTIVE
LN00022,LN1313000022,CU02927,PR013,BR002,OF0026,HOME_LOAN,4777666.48,3276553.90,9.19,36,2024-08-04,2027-08-04,B,ACTIVE
LN00023,LN5392000023,CU03366,PR011,BR004,OF0096,PERSONAL_LOAN,2207630.31,1692082.82,13.81,240,2024-07-22,2044-07-22,A,CLOSED
LN00024,LN6905000024,CU01523,PR010,BR006,OF0092,PERSONAL_LOAN,1334898.41,684574.53,13.48,120,2023-08-13,2033-08-13,B,ACTIVE
LN00025,LN4611000025,CU02183,PR015,BR001,OF0083,HOME_LOAN,2074595.38,1396362.63,12.85,180,2018-05-04,2033-05-04,C,ACTIVE
LN00026,LN8576000026,CU02958,PR012,BR010,OF0059,PERSONAL_LOAN,4229431.55,2811539.49,9.84,12,2020-03-04,2021-03-04,A,DEFAULTED
LN00027,LN3727000027,CU04051,PR011,BR010,OF0006,PERSONAL_LOAN,3584672.22,1988888.57,11.16,24,2022-11-07,2024-11-07,C,DEFAULTED
LN00028,LN2676000028,CU04909,PR015,BR002,OF0013,HOME_LOAN,1836546.54,1817773.14,14.91,24,2020-09-27,2022-09-27,A,DEFAULTED
LN00029,LN3534000029,CU00063,PR013,BR008,OF0097,HOME_LOAN,3463505.20,2730886.53,15.14,12,2020-05-03,2021-05-03,B,DEFAULTED
LN00030,LN7739000030,CU01530,PR012,BR002,OF0073,PERSONAL_LOAN,2907618.09,988404.11,10.88,180,2018-07-14,2033-07-14,B,CLOSED
LN00031,LN9188000031,CU03296,PR010,BR008,OF0061,PERSONAL_LOAN,1899544.44,513724.31,7.18,120,2022-02-06,2032-02-06,A,CLOSED
LN00032,LN5031000032,CU01022,PR010,BR009,OF0068,PERSONAL_LOAN,3863596.22,3152627.59,8.62,12,2022-09-07,2023-09-07,C,DEFAULTED
LN00033,LN1695000033,CU00873,PR015,BR006,OF0048,HOME_LOAN,182204.49,37405.93,9.69,240,2021-10-01,2041-10-01,A,CLOSED
LN00034,LN6806000034,CU04376,PR011,BR008,OF0075,PERSONAL_LOAN,4715138.38,974100.41,7.77,24,2021-06-12,2023-06-12,D,ACTIVE
LN00035,LN9119000035,CU02255,PR010,BR004,OF0098,PERSONAL_LOAN,1748814.57,1650423.96,13.49,24,2018-04-27,2020-04-27,C,ACTIVE
LN00036,LN3816000036,CU02728,PR011,BR003,OF0072,PERSONAL_LOAN,2210579.03,1755717.56,12.84,120,2018-04-18,2028-04-18,A,CLOSED
LN00037,LN8173000037,CU03093,PR012,BR003,OF0039,PERSONAL_LOAN,4869186.69,4498874.56,15.84,120,2022-07-08,2032-07-08,C,ACTIVE
LN00038,LN6573000038,CU02968,PR014,BR008,OF0075,HOME_LOAN,3808842.26,1491623.05,13.20,60,2019-12-06,2024-12-06,B,DEFAULTED
LN00039,LN5725000039,CU04271,PR015,BR008,OF0097,HOME_LOAN,3168160.72,2530400.69,7.92,12,2023-08-31,2024-08-31,B,DEFAULTED
LN00040,LN6669000040,CU03244,PR010,BR006,OF0094,PERSONAL_LOAN,1214811.67,432641.48,10.77,180,2019-06-29,2034-06-29,B,CLOSED
LN00041,LN1900000041,CU01728,PR010,BR010,OF0008,PERSONAL_LOAN,1712481.36,275878.73,8.25,120,2023-08-08,2033-08-08,B,CLOSED
LN00042,LN4895000042,CU00027,PR013,BR001,OF0083,HOME_LOAN,1188599.54,571838.04,13.76,60,2024-02-28,2029-02-28,B,DEFAULTED
LN00043,LN6088000043,CU04524,PR010,BR004,OF0022,PERSONAL_LOAN,1895832.37,1405815.95,12.58,36,2019-07-18,2022-07-18,B,DEFAULTED
LN00044,LN4242000044,CU02528,PR014,BR003,OF0072,HOME_LOAN,3572404.77,1752012.35,14.13,36,2023-10-20,2026-10-20,C,ACTIVE
LN00045,LN5134000045,CU04836,PR010,BR003,OF0037,PERSONAL_LOAN,3211222.32,996648.78,9.30,36,2018-10-08,2021-10-08,B,ACTIVE
LN00046,LN7060000046,CU01124,PR011,BR005,OF0071,PERSONAL_LOAN,3145414.07,1526692.39,13.92,120,2019-08-16,2029-08-16,C,ACTIVE
LN00047,LN8562000047,CU04006,PR011,BR009,OF0099,PERSONAL_LOAN,2156378.98,394515.98,12.58,120,2022-10-06,2032-10-06,B,CLOSED
LN00048,LN1733000048,CU02032,PR011,BR002,OF0073,PERSONAL_LOAN,142032.11,58285.48,15.53,12,2019-12-18,2020-12-18,C,DEFAULTED
LN00049,LN4808000049,CU04090,PR013,BR001,OF0083,HOME_LOAN,1247796.90,633731.38,8.92,60,2019-06-08,2024-06-08,B,CLOSED
LN00050,LN3458000050,CU01592,PR012,BR008,OF0097,PERSONAL_LOAN,1027143.95,326170.96,12.01,24,2022-02-26,2024-02-26,C,CLOSED
LN00051,LN7223000051,CU00772,PR012,BR004,OF0063,PERSONAL_LOAN,3433415.78,3281366.44,8.74,120,2020-08-30,2030-08-30,A,CLOSED
LN00052,LN9928000052,CU02315,PR014,BR007,OF0065,HOME_LOAN,4887369.08,1148367.91,8.61,24,2020-06-14,2022-06-14,A,ACTIVE
LN00053,LN1349000053,CU03643,PR011,BR002,OF0007,PERSONAL_LOAN,2285970.97,2112403.67,13.56,36,2021-05-01,2024-05-01,A,DEFAULTED
LN00054,LN5277000054,CU04563,PR015,BR004,OF0063,HOME_LOAN,4456081.59,4198858.05,12.42,180,2023-09-27,2038-09-27,A,DEFAULTED
LN00055,LN3543000055,CU02052,PR015,BR005,OF0029,HOME_LOAN,3909471.76,3585434.38,14.57,60,2022-01-15,2027-01-15,C,DEFAULTED
LN00056,LN1753000056,CU03043,PR011,BR002,OF0086,PERSONAL_LOAN,2025892.38,827033.25,15.97,120,2019-03-31,2029-03-31,B,CLOSED
LN00057,LN5141000057,CU02686,PR011,BR006,OF0094,PERSONAL_LOAN,1303069.60,622372.02,8.50,24,2022-08-12,2024-08-12,A,ACTIVE
LN00058,LN8952000058,CU02216,PR010,BR010,OF0021,PERSONAL_LOAN,3431515.33,1817933.46,8.87,180,2019-06-28,2034-06-28,C,CLOSED
LN00059,LN8018000059,CU00385,PR013,BR004,OF0022,HOME_LOAN,3331110.15,2425680.25,10.13,12,2018-07-03,2019-07-03,B,DEFAULTED
LN00060,LN7721000060,CU02961,PR011,BR009,OF0011,PERSONAL_LOAN,2559478.97,369145.85,15.49,240,2018-12-01,2038-12-01,B,CLOSED
LN00061,LN7153000061,CU03958,PR012,BR010,OF0008,PERSONAL_LOAN,4469486.49,1519127.01,7.08,180,2024-03-03,2039-03-03,B,DEFAULTED
LN00062,LN4021000062,CU04896,PR015,BR006,OF0092,HOME_LOAN,2784962.68,1938821.80,8.86,120,2020-08-05,2030-08-05,B,DEFAULTED
LN00063,LN1701000063,CU02381,PR011,BR001,OF0074,PERSONAL_LOAN,666731.21,566751.85,12.72,24,2021-05-24,2023-05-24,C,ACTIVE
LN00064,LN5257000064,CU02779,PR012,BR003,OF0038,PERSONAL_LOAN,1116824.37,1098416.73,11.00,24,2020-12-23,2022-12-23,C,DEFAULTED
LN00065,LN7942000065,CU00901,PR011,BR006,OF0095,PERSONAL_LOAN,1455134.10,1272083.32,15.40,36,2021-10-24,2024-10-24,A,ACTIVE
LN00066,LN5424000066,CU01129,PR010,BR001,OF0083,PERSONAL_LOAN,1226287.47,1071543.76,9.74,12,2021-09-16,2022-09-16,C,CLOSED
LN00067,LN9885000067,CU02394,PR010,BR009,OF0016,PERSONAL_LOAN,1443217.99,1069354.65,13.08,36,2024-10-04,2027-10-04,C,CLOSED
LN00068,LN7634000068,CU00575,PR011,BR003,OF0005,PERSONAL_LOAN,1929090.92,906097.81,13.19,240,2023-04-27,2043-04-27,B,DEFAULTED
LN00069,LN8469000069,CU01120,PR010,BR010,OF0059,PERSONAL_LOAN,4653137.14,3910702.47,13.35,36,2018-11-25,2021-11-25,A,CLOSED
LN00070,LN1899000070,CU04974,PR013,BR002,OF0066,HOME_LOAN,829207.59,299780.47,8.96,36,2022-06-19,2025-06-19,C,DEFAULTED
LN00071,LN4070000071,CU03069,PR013,BR010,OF0006,HOME_LOAN,1183032.80,821591.47,12.86,12,2024-04-29,2025-04-29,B,DEFAULTED
LN00072,LN6713000072,CU04341,PR011,BR009,OF0020,PERSONAL_LOAN,3602092.58,2036976.42,13.21,60,2024-04-22,2029-04-22,B,CLOSED
LN00073,LN3802000073,CU04748,PR012,BR003,OF0072,PERSONAL_LOAN,3142607.88,874361.91,12.09,240,2018-01-15,2038-01-15,A,ACTIVE
LN00074,LN7298000074,CU03570,PR013,BR002,OF0026,HOME_LOAN,2364797.02,2361899.69,10.40,36,2024-04-09,2027-04-09,A,ACTIVE
LN00075,LN6266000075,CU04276,PR011,BR010,OF0021,PERSONAL_LOAN,817249.46,798432.74,11.08,12,2020-05-12,2021-05-12,C,DEFAULTED
LN00076,LN8018000076,CU01221,PR015,BR005,OF0080,HOME_LOAN,1238902.30,1222576.94,8.88,12,2024-01-11,2025-01-11,B,CLOSED
LN00077,LN5545000077,CU01087,PR010,BR007,OF0090,PERSONAL_LOAN,2860859.51,1314585.11,9.90,24,2021-04-03,2023-04-03,B,DEFAULTED
LN00078,LN9820000078,CU00960,PR015,BR003,OF0037,HOME_LOAN,1639502.21,1626059.30,10.81,240,2021-06-01,2041-06-01,B,ACTIVE
LN00079,LN1424000079,CU00298,PR010,BR007,OF0049,PERSONAL_LOAN,3570753.86,621851.67,15.54,180,2021-02-13,2036-02-13,C,ACTIVE
LN00080,LN7083000080,CU03117,PR012,BR001,OF0003,PERSONAL_LOAN,3298142.33,2528401.39,11.63,60,2024-01-21,2029-01-21,B,DEFAULTED
LN00081,LN3300000081,CU04541,PR013,BR006,OF0012,HOME_LOAN,401775.93,216655.21,12.86,120,2020-10-19,2030-10-19,C,CLOSED
LN00082,LN3495000082,CU03948,PR012,BR009,OF0020,PERSONAL_LOAN,388669.95,185289.95,15.62,60,2019-11-18,2024-11-18,C,DEFAULTED
LN00083,LN5019000083,CU04849,PR014,BR004,OF0098,HOME_LOAN,204367.79,76094.83,15.20,240,2023-01-30,2043-01-30,B,ACTIVE
LN00084,LN4222000084,CU00963,PR014,BR007,OF0028,HOME_LOAN,4939520.62,3717295.54,13.77,240,2022-01-03,2042-01-03,C,CLOSED
LN00085,LN6147000085,CU02346,PR014,BR003,OF0045,HOME_LOAN,4261309.78,1549489.73,7.14,36,2018-03-08,2021-03-08,B,DEFAULTED
LN00086,LN4952000086,CU03422,PR010,BR007,OF0065,PERSONAL_LOAN,247429.23,199345.15,10.32,12,2024-10-26,2025-10-26,C,ACTIVE
LN00087,LN8110000087,CU00096,PR012,BR005,OF0042,PERSONAL_LOAN,293694.44,163831.42,10.32,24,2024-02-09,2026-02-09,A,DEFAULTED
LN00088,LN2267000088,CU03300,PR011,BR003,OF0072,PERSONAL_LOAN,1647591.63,563943.03,14.01,12,2021-12-21,2022-12-21,C,ACTIVE
LN00089,LN3361000089,CU02735,PR015,BR007,OF0051,HOME_LOAN,1438267.07,154177.87,7.44,180,2023-04-01,2038-04-01,B,DEFAULTED
LN00090,LN1617000090,CU00144,PR014,BR007,OF0049,HOME_LOAN,2406287.99,1381858.84,12.37,180,2024-06-15,2039-06-15,B,ACTIVE
LN00091,LN2543000091,CU00621,PR014,BR007,OF0065,HOME_LOAN,1069324.25,805426.88,12.12,60,2018-09-24,2023-09-24,B,CLOSED
LN00092,LN4177000092,CU03691,PR015,BR005,OF0042,HOME_LOAN,2840788.25,2562487.25,10.16,240,2021-12-27,2041-12-27,C,ACTIVE
LN00093,LN2956000093,CU01658,PR011,BR003,OF0032,PERSONAL_LOAN,326785.07,231818.47,7.04,240,2018-02-21,2038-02-21,D,DEFAULTED
LN00094,LN1147000094,CU00347,PR015,BR007,OF0065,HOME_LOAN,4625078.47,3156400.96,14.92,12,2023-10-03,2024-10-03,B,CLOSED
LN00095,LN3006000095,CU03035,PR010,BR010,OF0006,PERSONAL_LOAN,1246869.67,679218.77,13.15,24,2022-12-19,2024-12-19,B,CLOSED
LN00096,LN3641000096,CU04512,PR012,BR003,OF0035,PERSONAL_LOAN,3493937.81,592794.73,13.10,60,2020-05-07,2025-05-07,A,DEFAULTED
LN00097,LN8641000097,CU00349,PR014,BR005,OF0085,HOME_LOAN,4124705.58,449941.46,9.72,36,2024-09-01,2027-09-01,A,CLOSED
LN00098,LN7092000098,CU01456,PR015,BR001,OF0003,HOME_LOAN,3276227.79,456645.15,12.03,240,2018-04-27,2038-04-27,C,CLOSED
LN00099,LN9877000099,CU01609,PR013,BR008,OF0093,HOME_LOAN,974859.29,865970.51,8.28,24,2020-01-21,2022-01-21,A,DEFAULTED
LN00100,LN6387000100,CU02205,PR010,BR002,OF0079,PERSONAL_LOAN,2308177.54,281983.91,15.39,24,2022-09-13,2024-09-13,C,CLOSED
LN00101,LN6512000101,CU02421,PR011,BR007,OF0077,PERSONAL_LOAN,3161106.74,446402.15,10.65,12,2018-08-14,2019-08-14,B,CLOSED
LN00102,LN5816000102,CU01220,PR014,BR009,OF0009,HOME_LOAN,4347001.53,2194513.72,10.61,60,2023-02-14,2028-02-14,D,DEFAULTED
LN00103,LN8780000103,CU00837,PR015,BR007,OF0028,HOME_LOAN,3364533.19,2958168.49,7.79,24,2020-09-11,2022-09-11,B,ACTIVE
LN00104,LN1517000104,CU04470,PR012,BR005,OF0029,PERSONAL_LOAN,4881827.46,4703262.31,8.82,180,2023-05-16,2038-05-16,B,CLOSED
LN00105,LN2940000105,CU00740,PR014,BR009,OF0070,HOME_LOAN,999067.22,994176.39,12.89,36,2022-03-01,2025-03-01,A,ACTIVE
LN00106,LN4724000106,CU03256,PR013,BR009,OF0067,HOME_LOAN,3331712.56,945575.89,11.72,240,2020-08-18,2040-08-18,B,DEFAULTED
LN00107,LN1440000107,CU01389,PR011,BR010,OF0021,PERSONAL_LOAN,3158544.11,2765894.18,11.55,24,2020-06-23,2022-06-23,A,ACTIVE
LN00108,LN1315000108,CU00898,PR012,BR010,OF0006,PERSONAL_LOAN,1639273.93,1092739.50,13.18,60,2022-04-03,2027-04-03,C,ACTIVE
LN00109,LN6202000109,CU00950,PR010,BR007,OF0077,PERSONAL_LOAN,3413246.53,2814039.36,14.32,120,2019-12-20,2029-12-20,A,DEFAULTED
LN00110,LN2501000110,CU02053,PR010,BR006,OF0092,PERSONAL_LOAN,1855865.22,988616.16,10.56,120,2023-06-23,2033-06-23,C,ACTIVE
LN00111,LN2186000111,CU00734,PR010,BR010,OF0021,PERSONAL_LOAN,673242.02,385000.17,15.51,240,2024-06-11,2044-06-11,C,CLOSED
LN00112,LN7762000112,CU03516,PR010,BR001,OF0031,PERSONAL_LOAN,4327256.02,499901.57,10.13,180,2022-08-24,2037-08-24,B,DEFAULTED
LN00113,LN6433000113,CU00684,PR013,BR008,OF0097,HOME_LOAN,3654130.24,2479549.75,12.52,36,2019-12-09,2022-12-09,B,CLOSED
LN00114,LN9623000114,CU00316,PR014,BR005,OF0085,HOME_LOAN,2887082.30,648972.44,7.41,24,2023-05-14,2025-05-14,B,CLOSED
LN00115,LN4611000115,CU04648,PR014,BR006,OF0054,HOME_LOAN,4582851.69,1323839.64,14.36,36,2022-03-15,2025-03-15,B,CLOSED
LN00116,LN3865000116,CU00198,PR011,BR008,OF0061,PERSONAL_LOAN,2301758.69,1205674.48,7.27,12,2023-10-26,2024-10-26,B,CLOSED
LN00117,LN9362000117,CU04491,PR010,BR002,OF0026,PERSONAL_LOAN,3367854.06,3080329.54,13.73,180,2021-08-18,2036-08-18,B,CLOSED
LN00118,LN2652000118,CU04571,PR012,BR010,OF0014,PERSONAL_LOAN,506871.98,440903.52,14.65,240,2023-05-08,2043-05-08,B,CLOSED
LN00119,LN5820000119,CU03776,PR015,BR009,OF0057,HOME_LOAN,2097022.86,1572760.41,15.55,180,2020-02-01,2035-02-01,B,DEFAULTED
LN00120,LN3991000120,CU02790,PR013,BR002,OF0086,HOME_LOAN,1951977.18,891250.45,8.64,60,2018-06-03,2023-06-03,A,DEFAULTED
LN00121,LN9640000121,CU01482,PR014,BR001,OF0031,HOME_LOAN,4148764.17,2542787.43,13.02,240,2024-02-20,2044-02-20,B,DEFAULTED
LN00122,LN5154000122,CU00107,PR012,BR001,OF0031,PERSONAL_LOAN,884437.49,262595.94,15.35,36,2023-04-28,2026-04-28,B,ACTIVE
LN00123,LN9332000123,CU02452,PR015,BR010,OF0021,HOME_LOAN,3568384.61,2411740.02,8.20,24,2021-07-06,2023-07-06,B,DEFAULTED
LN00124,LN9696000124,CU01723,PR014,BR005,OF0029,HOME_LOAN,4828487.66,2232276.78,9.69,240,2019-11-20,2039-11-20,A,DEFAULTED
LN00125,LN2344000125,CU04507,PR011,BR002,OF0013,PERSONAL_LOAN,740662.81,544256.11,13.87,24,2019-02-22,2021-02-22,B,CLOSED
LN00126,LN7816000126,CU00177,PR010,BR002,OF0013,PERSONAL_LOAN,2696306.66,1913668.60,10.65,60,2024-04-12,2029-04-12,C,CLOSED
LN00127,LN9722000127,CU03052,PR015,BR004,OF0098,HOME_LOAN,3141684.40,2194031.35,12.01,240,2018-08-19,2038-08-19,C,ACTIVE
LN00128,LN1306000128,CU02700,PR011,BR005,OF0060,PERSONAL_LOAN,1486105.52,551350.89,15.37,240,2019-08-04,2039-08-04,B,CLOSED
LN00129,LN7289000129,CU01148,PR013,BR009,OF0099,HOME_LOAN,2552406.89,447043.19,11.01,12,2024-10-25,2025-10-25,B,DEFAULTED
LN00130,LN5671000130,CU03159,PR014,BR002,OF0079,HOME_LOAN,981316.85,938564.10,15.07,12,2024-03-31,2025-03-31,A,DEFAULTED
LN00131,LN8716000131,CU03217,PR015,BR003,OF0053,HOME_LOAN,4014962.46,518693.10,9.43,60,2023-11-04,2028-11-04,B,CLOSED
LN00132,LN6336000132,CU00587,PR012,BR010,OF0014,PERSONAL_LOAN,3188019.71,2370921.77,12.06,180,2020-04-16,2035-04-16,B,DEFAULTED
LN00133,LN2827000133,CU04627,PR013,BR009,OF0020,HOME_LOAN,3011834.27,1813139.97,13.69,180,2022-04-16,2037-04-16,B,CLOSED
LN00134,LN9277000134,CU00296,PR013,BR007,OF0023,HOME_LOAN,3298921.75,1688485.73,13.10,120,2020-09-04,2030-09-04,B,DEFAULTED
LN00135,LN5433000135,CU02325,PR014,BR001,OF0031,HOME_LOAN,2944671.66,370208.06,8.68,24,2019-04-20,2021-04-20,A,DEFAULTED
LN00136,LN2402000136,CU02454,PR010,BR004,OF0047,PERSONAL_LOAN,4249747.72,448228.99,10.45,36,2019-01-14,2022-01-14,A,DEFAULTED
LN00137,LN1288000137,CU04033,PR015,BR007,OF0090,HOME_LOAN,3032294.40,2270984.25,11.94,180,2021-12-22,2036-12-22,C,CLOSED
LN00138,LN7854000138,CU04067,PR015,BR006,OF0012,HOME_LOAN,2818665.03,2436891.06,14.79,36,2024-08-08,2027-08-08,C,DEFAULTED
LN00139,LN5170000139,CU00148,PR015,BR010,OF0088,HOME_LOAN,826983.66,515170.57,14.90,60,2023-04-06,2028-04-06,C,ACTIVE
LN00140,LN4483000140,CU04511,PR012,BR004,OF0098,PERSONAL_LOAN,78613.17,12416.88,15.85,36,2019-09-20,2022-09-20,B,CLOSED
LN00141,LN2765000141,CU03569,PR013,BR007,OF0065,HOME_LOAN,3549540.79,2228353.99,7.57,36,2023-09-07,2026-09-07,C,CLOSED
LN00142,LN8525000142,CU02018,PR014,BR008,OF0082,HOME_LOAN,3856328.42,2955241.78,9.34,120,2022-01-27,2032-01-27,B,DEFAULTED
LN00143,LN1834000143,CU01167,PR011,BR001,OF0074,PERSONAL_LOAN,2439360.16,1584962.62,7.16,24,2021-09-24,2023-09-24,B,ACTIVE
LN00144,LN1253000144,CU01580,PR010,BR006,OF0095,PERSONAL_LOAN,1710941.45,995863.98,11.22,36,2022-02-08,2025-02-08,B,ACTIVE
LN00145,LN1312000145,CU02588,PR011,BR003,OF0001,PERSONAL_LOAN,1578393.32,273330.98,14.53,120,2022-04-23,2032-04-23,B,DEFAULTED
LN00146,LN2354000146,CU01349,PR012,BR009,OF0057,PERSONAL_LOAN,2801106.37,800007.91,8.51,60,2023-12-07,2028-12-07,B,ACTIVE
LN00147,LN2391000147,CU04147,PR013,BR010,OF0014,HOME_LOAN,936965.53,572083.82,13.45,240,2021-02-24,2041-02-24,B,ACTIVE
LN00148,LN7756000148,CU03361,PR011,BR005,OF0040,PERSONAL_LOAN,3910945.23,3399486.63,12.98,36,2019-08-21,2022-08-21,C,CLOSED
LN00149,LN8935000149,CU01242,PR015,BR010,OF0004,HOME_LOAN,2031337.30,1003637.86,11.23,180,2022-02-15,2037-02-15,B,CLOSED
LN00150,LN4637000150,CU02107,PR010,BR005,OF0040,PERSONAL_LOAN,3669324.91,1011428.90,12.12,60,2022-06-18,2027-06-18,C,ACTIVE
LN00151,LN6453000151,CU01967,PR012,BR002,OF0066,PERSONAL_LOAN,4262978.03,2367795.47,7.00,180,2020-10-04,2035-10-04,C,ACTIVE
LN00152,LN7884000152,CU00647,PR015,BR005,OF0071,HOME_LOAN,834676.13,579541.91,15.20,240,2018-02-10,2038-02-10,B,DEFAULTED
LN00153,LN2266000153,CU00082,PR011,BR004,OF0098,PERSONAL_LOAN,3585754.37,3335843.19,10.44,36,2021-11-04,2024-11-04,B,CLOSED
LN00154,LN9311000154,CU00042,PR013,BR006,OF0094,HOME_LOAN,1185507.14,270103.67,15.15,12,2022-10-19,2023-10-19,B,CLOSED
LN00155,LN7139000155,CU04191,PR013,BR003,OF0015,HOME_LOAN,1283968.09,692941.67,14.94,180,2019-10-07,2034-10-07,B,ACTIVE
LN00156,LN1819000156,CU03596,PR011,BR008,OF0082,PERSONAL_LOAN,4567839.49,1432099.28,15.35,60,2023-06-02,2028-06-02,B,ACTIVE
LN00157,LN1967000157,CU03517,PR010,BR010,OF0008,PERSONAL_LOAN,792843.48,718829.74,8.87,120,2022-02-22,2032-02-22,A,ACTIVE
LN00158,LN1962000158,CU02501,PR011,BR006,OF0094,PERSONAL_LOAN,851087.04,557845.22,14.84,240,2020-11-03,2040-11-03,C,CLOSED
LN00159,LN9606000159,CU04835,PR012,BR009,OF0011,PERSONAL_LOAN,2438075.53,524507.99,13.13,36,2024-08-14,2027-08-14,B,DEFAULTED
LN00160,LN6959000160,CU00913,PR014,BR001,OF0083,HOME_LOAN,1311027.20,1105640.74,9.48,180,2021-03-22,2036-03-22,B,ACTIVE
LN00161,LN9553000161,CU02133,PR012,BR004,OF0030,PERSONAL_LOAN,1336622.09,235872.11,7.80,12,2018-08-06,2019-08-06,B,ACTIVE
LN00162,LN8184000162,CU01812,PR014,BR010,OF0059,HOME_LOAN,1441896.49,1105174.55,9.14,24,2022-07-25,2024-07-25,C,CLOSED
LN00163,LN9766000163,CU01272,PR015,BR010,OF0088,HOME_LOAN,2634684.67,1323463.73,13.52,240,2024-12-17,2044-12-17,A,DEFAULTED
LN00164,LN1947000164,CU01570,PR013,BR009,OF0052,HOME_LOAN,3258924.59,681507.55,7.69,60,2019-11-05,2024-11-05,B,DEFAULTED
LN00165,LN5083000165,CU00323,PR014,BR007,OF0056,HOME_LOAN,526236.28,63932.81,10.06,24,2022-11-11,2024-11-11,C,CLOSED
LN00166,LN7004000166,CU03483,PR013,BR008,OF0036,HOME_LOAN,4755846.86,1737761.88,12.16,36,2023-02-08,2026-02-08,B,CLOSED
LN00167,LN9552000167,CU00573,PR010,BR010,OF0008,PERSONAL_LOAN,1306106.29,1198293.79,11.84,240,2020-08-16,2040-08-16,A,DEFAULTED
LN00168,LN7265000168,CU03038,PR010,BR004,OF0063,PERSONAL_LOAN,4157806.93,3374860.64,12.56,240,2019-10-29,2039-10-29,A,ACTIVE
LN00169,LN4098000169,CU04296,PR015,BR007,OF0077,HOME_LOAN,3778434.93,2475588.07,10.97,36,2022-10-22,2025-10-22,A,CLOSED
LN00170,LN2636000170,CU01622,PR013,BR006,OF0012,HOME_LOAN,3758856.13,1663652.57,10.18,12,2021-02-06,2022-02-06,D,ACTIVE
